"Worker ID","Link to Individual Worker Page","Number of HITs approved or rejected - Lifetime","Number of HITs approved - Lifetime","Your Lifetime approval rate","Number of HITs approved or rejected - Last 30 days","Number of HITs approved - Last 30 days","Your Last 30 days approval rate","Number of HITs approved or rejected - Last 7 days","Number of HITs approved - Last 7 days","Your Last 7 days approval rate","CURRENT-ai_responders_033118","UPDATE-ai_responders_033118","CURRENT BlockStatus","UPDATE BlockStatus","BlockReason"
"A10FN6L2S91E8D","https://requester.mturk.com/workers/A10FN6L2S91E8D","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A10GJ2FOR16B2I","https://requester.mturk.com/workers/A10GJ2FOR16B2I","1","1","100.00%","1","1","100.00%","0","0","0.00%","1","","Never Blocked","",""
"A10HEV2856GIQL","https://requester.mturk.com/workers/A10HEV2856GIQL","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A110JBKYAC0WAW","https://requester.mturk.com/workers/A110JBKYAC0WAW","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A1187B8YT74YAJ","https://requester.mturk.com/workers/A1187B8YT74YAJ","1","0","0.00%","1","0","0.00%","1","0","0.00%","","","Never Blocked","",""
"A11LG8NBTHZ2GT","https://requester.mturk.com/workers/A11LG8NBTHZ2GT","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A11QDNT3W7DT7K","https://requester.mturk.com/workers/A11QDNT3W7DT7K","1","0","0.00%","1","0","0.00%","1","0","0.00%","","","Never Blocked","",""
"A11R8G0FYA2UVQ","https://requester.mturk.com/workers/A11R8G0FYA2UVQ","1","1","100.00%","1","1","100.00%","1","1","100.00%","1","","Never Blocked","",""
"A11W7R2O4RQSSS","https://requester.mturk.com/workers/A11W7R2O4RQSSS","1","1","100.00%","1","1","100.00%","0","0","0.00%","1","","Never Blocked","",""
"A1247PYAVEPWTX","https://requester.mturk.com/workers/A1247PYAVEPWTX","1","0","0.00%","1","0","0.00%","1","0","0.00%","","","Never Blocked","",""
"A1274B3RL8IZ8H","https://requester.mturk.com/workers/A1274B3RL8IZ8H","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A12JKSH2NE5W9N","https://requester.mturk.com/workers/A12JKSH2NE5W9N","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A12NO2MNOIREXA","https://requester.mturk.com/workers/A12NO2MNOIREXA","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A138LSJBBLOR8Q","https://requester.mturk.com/workers/A138LSJBBLOR8Q","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A13AHQUWGR063","https://requester.mturk.com/workers/A13AHQUWGR063","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A13FUEPWBCLBUY","https://requester.mturk.com/workers/A13FUEPWBCLBUY","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A146Z2MR3JKD39","https://requester.mturk.com/workers/A146Z2MR3JKD39","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A14NSVH4W27CK0","https://requester.mturk.com/workers/A14NSVH4W27CK0","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A14OQ52EFQAN2W","https://requester.mturk.com/workers/A14OQ52EFQAN2W","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A14QHFJ52HGE6Q","https://requester.mturk.com/workers/A14QHFJ52HGE6Q","1","0","0.00%","1","0","0.00%","1","0","0.00%","","","Never Blocked","",""
"A14WLAP6TCEKO0","https://requester.mturk.com/workers/A14WLAP6TCEKO0","1","1","100.00%","1","1","100.00%","0","0","0.00%","1","","Never Blocked","",""
"A159KNKNX9RYUL","https://requester.mturk.com/workers/A159KNKNX9RYUL","1","0","0.00%","1","0","0.00%","1","0","0.00%","","","Never Blocked","",""
"A15QGLWS8CNJFU","https://requester.mturk.com/workers/A15QGLWS8CNJFU","1","1","100.00%","1","1","100.00%","0","0","0.00%","1","","Never Blocked","",""
"A15YE29S9WR0O6","https://requester.mturk.com/workers/A15YE29S9WR0O6","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A16RUB5JYN4UV7","https://requester.mturk.com/workers/A16RUB5JYN4UV7","1","0","0.00%","1","0","0.00%","1","0","0.00%","","","Never Blocked","",""
"A171S8E9IFSHH2","https://requester.mturk.com/workers/A171S8E9IFSHH2","1","0","0.00%","1","0","0.00%","1","0","0.00%","","","Never Blocked","",""
"A17HFDRWYZL1CD","https://requester.mturk.com/workers/A17HFDRWYZL1CD","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A17ZMF7GGP6HKO","https://requester.mturk.com/workers/A17ZMF7GGP6HKO","1","0","0.00%","1","0","0.00%","1","0","0.00%","","","Never Blocked","",""
"A18U9WMYFYJPR6","https://requester.mturk.com/workers/A18U9WMYFYJPR6","1","0","0.00%","1","0","0.00%","1","0","0.00%","","","Never Blocked","",""
"A19APXLPQCWZ8S","https://requester.mturk.com/workers/A19APXLPQCWZ8S","1","0","0.00%","1","0","0.00%","1","0","0.00%","","","Never Blocked","",""
"A19L8SNH73AX1Z","https://requester.mturk.com/workers/A19L8SNH73AX1Z","1","1","100.00%","1","1","100.00%","0","0","0.00%","1","","Never Blocked","",""
"A19LVWX8ZLO6CS","https://requester.mturk.com/workers/A19LVWX8ZLO6CS","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A1A2X0T1XE8K89","https://requester.mturk.com/workers/A1A2X0T1XE8K89","1","0","0.00%","1","0","0.00%","1","0","0.00%","","","Never Blocked","",""
"A1A6UVH1CCP8CD","https://requester.mturk.com/workers/A1A6UVH1CCP8CD","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A1AIHLAEJ8FU4J","https://requester.mturk.com/workers/A1AIHLAEJ8FU4J","1","0","0.00%","1","0","0.00%","1","0","0.00%","","","Never Blocked","",""
"A1AUBV4SO8NZLS","https://requester.mturk.com/workers/A1AUBV4SO8NZLS","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A1B592DM38HTL4","https://requester.mturk.com/workers/A1B592DM38HTL4","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A1BBZ5EMNSCZJR","https://requester.mturk.com/workers/A1BBZ5EMNSCZJR","1","1","100.00%","1","1","100.00%","0","0","0.00%","1","","Never Blocked","",""
"A1BQBQG2GNY8AY","https://requester.mturk.com/workers/A1BQBQG2GNY8AY","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A1BYFEAGNTPRJD","https://requester.mturk.com/workers/A1BYFEAGNTPRJD","1","1","100.00%","1","1","100.00%","0","0","0.00%","1","","Never Blocked","",""
"A1BZNPQ0H7ZSER","https://requester.mturk.com/workers/A1BZNPQ0H7ZSER","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A1CE2XPYCDRHVZ","https://requester.mturk.com/workers/A1CE2XPYCDRHVZ","1","1","100.00%","1","1","100.00%","0","0","0.00%","1","","Never Blocked","",""
"A1CZ2GB5LZ9O5H","https://requester.mturk.com/workers/A1CZ2GB5LZ9O5H","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A1D4CMVMBTSIJQ","https://requester.mturk.com/workers/A1D4CMVMBTSIJQ","1","0","0.00%","1","0","0.00%","1","0","0.00%","","","Never Blocked","",""
"A1DJEWE7PY7YQX","https://requester.mturk.com/workers/A1DJEWE7PY7YQX","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A1DXSFFL5HZ1NX","https://requester.mturk.com/workers/A1DXSFFL5HZ1NX","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A1ER6B1KB5OJ7F","https://requester.mturk.com/workers/A1ER6B1KB5OJ7F","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A1FVCMGXK85014","https://requester.mturk.com/workers/A1FVCMGXK85014","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A1H8I7FOW3HWD3","https://requester.mturk.com/workers/A1H8I7FOW3HWD3","1","1","100.00%","1","1","100.00%","0","0","0.00%","1","","Never Blocked","",""
"A1H9L9ARVCMJMX","https://requester.mturk.com/workers/A1H9L9ARVCMJMX","1","0","0.00%","1","0","0.00%","1","0","0.00%","","","Never Blocked","",""
"A1HIQZEC2ER7GS","https://requester.mturk.com/workers/A1HIQZEC2ER7GS","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A1HMO9XPRPUPWJ","https://requester.mturk.com/workers/A1HMO9XPRPUPWJ","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A1HSRWOEK6ZJPR","https://requester.mturk.com/workers/A1HSRWOEK6ZJPR","1","0","0.00%","1","0","0.00%","1","0","0.00%","","","Never Blocked","",""
"A1HYMGPYXU97ZN","https://requester.mturk.com/workers/A1HYMGPYXU97ZN","1","1","100.00%","1","1","100.00%","0","0","0.00%","1","","Never Blocked","",""
"A1ICTVF6SGBTH7","https://requester.mturk.com/workers/A1ICTVF6SGBTH7","1","0","0.00%","1","0","0.00%","1","0","0.00%","","","Never Blocked","",""
"A1IYHQPPOACU83","https://requester.mturk.com/workers/A1IYHQPPOACU83","1","0","0.00%","1","0","0.00%","1","0","0.00%","","","Never Blocked","",""
"A1J17BE20G6DKA","https://requester.mturk.com/workers/A1J17BE20G6DKA","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A1J4N2SE30LCUH","https://requester.mturk.com/workers/A1J4N2SE30LCUH","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A1K2E8ICV5LAJ2","https://requester.mturk.com/workers/A1K2E8ICV5LAJ2","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A1K8QNLYYYX21W","https://requester.mturk.com/workers/A1K8QNLYYYX21W","1","1","100.00%","1","1","100.00%","0","0","0.00%","1","","Never Blocked","",""
"A1KFK92GEFQ9F5","https://requester.mturk.com/workers/A1KFK92GEFQ9F5","1","1","100.00%","1","1","100.00%","1","1","100.00%","1","","Never Blocked","",""
"A1KRYIRDA2OOWC","https://requester.mturk.com/workers/A1KRYIRDA2OOWC","1","0","0.00%","1","0","0.00%","1","0","0.00%","","","Never Blocked","",""
"A1KWIJXTC47YWE","https://requester.mturk.com/workers/A1KWIJXTC47YWE","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A1L030CL30QW2U","https://requester.mturk.com/workers/A1L030CL30QW2U","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A1L6D082DPMF3N","https://requester.mturk.com/workers/A1L6D082DPMF3N","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A1MR7D47A08P4Y","https://requester.mturk.com/workers/A1MR7D47A08P4Y","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A1NAGLVAIALY55","https://requester.mturk.com/workers/A1NAGLVAIALY55","1","0","0.00%","1","0","0.00%","1","0","0.00%","","","Never Blocked","",""
"A1NH9NLE8FFVSW","https://requester.mturk.com/workers/A1NH9NLE8FFVSW","1","0","0.00%","1","0","0.00%","1","0","0.00%","","","Never Blocked","",""
"A1NLW5ZS2WQR35","https://requester.mturk.com/workers/A1NLW5ZS2WQR35","1","1","100.00%","1","1","100.00%","0","0","0.00%","1","","Never Blocked","",""
"A1NM7ZPZ3NH412","https://requester.mturk.com/workers/A1NM7ZPZ3NH412","1","1","100.00%","1","1","100.00%","1","1","100.00%","1","","Never Blocked","",""
"A1NO4N6E04SAOR","https://requester.mturk.com/workers/A1NO4N6E04SAOR","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A1NOR6E0WT0Y14","https://requester.mturk.com/workers/A1NOR6E0WT0Y14","1","0","0.00%","1","0","0.00%","1","0","0.00%","","","Never Blocked","",""
"A1NXDNRUNL87XN","https://requester.mturk.com/workers/A1NXDNRUNL87XN","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A1OWD5ZK1MLAIF","https://requester.mturk.com/workers/A1OWD5ZK1MLAIF","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A1P0MXIDPXPW07","https://requester.mturk.com/workers/A1P0MXIDPXPW07","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A1PD0NGV29HX0W","https://requester.mturk.com/workers/A1PD0NGV29HX0W","1","0","0.00%","1","0","0.00%","1","0","0.00%","","","Never Blocked","",""
"A1PUIGT83JOHH6","https://requester.mturk.com/workers/A1PUIGT83JOHH6","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A1PVWZ8ZYJHCOJ","https://requester.mturk.com/workers/A1PVWZ8ZYJHCOJ","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A1Q2C5GJTB09WW","https://requester.mturk.com/workers/A1Q2C5GJTB09WW","1","1","100.00%","1","1","100.00%","1","1","100.00%","1","","Never Blocked","",""
"A1QEQOI98976S0","https://requester.mturk.com/workers/A1QEQOI98976S0","1","0","0.00%","1","0","0.00%","1","0","0.00%","","","Never Blocked","",""
"A1QTFE8FVK3HMG","https://requester.mturk.com/workers/A1QTFE8FVK3HMG","1","0","0.00%","1","0","0.00%","1","0","0.00%","","","Never Blocked","",""
"A1QWL8FRLNDJB","https://requester.mturk.com/workers/A1QWL8FRLNDJB","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A1R4F6EPXA3VCL","https://requester.mturk.com/workers/A1R4F6EPXA3VCL","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A1RQQFUQ2GU9IZ","https://requester.mturk.com/workers/A1RQQFUQ2GU9IZ","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A1SP3GBRZKMWZJ","https://requester.mturk.com/workers/A1SP3GBRZKMWZJ","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A1SU8C0D1IJYTN","https://requester.mturk.com/workers/A1SU8C0D1IJYTN","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A1SUNH15I9VI6J","https://requester.mturk.com/workers/A1SUNH15I9VI6J","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A1T0NW527WZT7G","https://requester.mturk.com/workers/A1T0NW527WZT7G","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A1TBUUGHEBVRYA","https://requester.mturk.com/workers/A1TBUUGHEBVRYA","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A1TCMO3C454JLC","https://requester.mturk.com/workers/A1TCMO3C454JLC","1","0","0.00%","1","0","0.00%","1","0","0.00%","","","Never Blocked","",""
"A1TS65VCOO8WXC","https://requester.mturk.com/workers/A1TS65VCOO8WXC","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A1V6CNMLV3QQIX","https://requester.mturk.com/workers/A1V6CNMLV3QQIX","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A1VE6VNQJO0U88","https://requester.mturk.com/workers/A1VE6VNQJO0U88","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A1VJ4ZOXP9PUCP","https://requester.mturk.com/workers/A1VJ4ZOXP9PUCP","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A1WCD91LFG8BQX","https://requester.mturk.com/workers/A1WCD91LFG8BQX","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A1WTIPXQDJIMUI","https://requester.mturk.com/workers/A1WTIPXQDJIMUI","1","0","0.00%","1","0","0.00%","1","0","0.00%","","","Never Blocked","",""
"A1X59Q57OOJUH7","https://requester.mturk.com/workers/A1X59Q57OOJUH7","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A1XKCT8RLIKB5Z","https://requester.mturk.com/workers/A1XKCT8RLIKB5Z","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A1XTZBD6M60PYD","https://requester.mturk.com/workers/A1XTZBD6M60PYD","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A1XZ40T91S5YFU","https://requester.mturk.com/workers/A1XZ40T91S5YFU","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A1Y7I81X0OVNSY","https://requester.mturk.com/workers/A1Y7I81X0OVNSY","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A1YBUA89N9CV2N","https://requester.mturk.com/workers/A1YBUA89N9CV2N","1","0","0.00%","1","0","0.00%","1","0","0.00%","","","Never Blocked","",""
"A1YFVXP4A1CXSF","https://requester.mturk.com/workers/A1YFVXP4A1CXSF","1","1","100.00%","1","1","100.00%","0","0","0.00%","1","","Never Blocked","",""
"A1YI1H05AQ3ING","https://requester.mturk.com/workers/A1YI1H05AQ3ING","1","0","0.00%","1","0","0.00%","1","0","0.00%","","","Never Blocked","",""
"A1YY98SJG37KSU","https://requester.mturk.com/workers/A1YY98SJG37KSU","1","0","0.00%","1","0","0.00%","1","0","0.00%","","","Never Blocked","",""
"A1ZRK6K5JUPJAV","https://requester.mturk.com/workers/A1ZRK6K5JUPJAV","1","1","100.00%","1","1","100.00%","1","1","100.00%","1","","Never Blocked","",""
"A1ZT0XICAVUFTD","https://requester.mturk.com/workers/A1ZT0XICAVUFTD","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A201PHANVNEC8I","https://requester.mturk.com/workers/A201PHANVNEC8I","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A206LK0R8I1LK4","https://requester.mturk.com/workers/A206LK0R8I1LK4","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A20DBVVUS8DMYP","https://requester.mturk.com/workers/A20DBVVUS8DMYP","1","1","100.00%","1","1","100.00%","0","0","0.00%","1","","Never Blocked","",""
"A20HZD952T4B2O","https://requester.mturk.com/workers/A20HZD952T4B2O","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A20Z5O57UDPFLX","https://requester.mturk.com/workers/A20Z5O57UDPFLX","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A211MU7HRPSV5","https://requester.mturk.com/workers/A211MU7HRPSV5","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A212WMJOUG2P4R","https://requester.mturk.com/workers/A212WMJOUG2P4R","1","0","0.00%","1","0","0.00%","1","0","0.00%","","","Never Blocked","",""
"A219BAAG4L9S52","https://requester.mturk.com/workers/A219BAAG4L9S52","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A21EZISIJ3JPSW","https://requester.mturk.com/workers/A21EZISIJ3JPSW","1","0","0.00%","1","0","0.00%","1","0","0.00%","","","Never Blocked","",""
"A21SAW4GZMGQQR","https://requester.mturk.com/workers/A21SAW4GZMGQQR","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A2235CAG2UC7CM","https://requester.mturk.com/workers/A2235CAG2UC7CM","1","0","0.00%","1","0","0.00%","1","0","0.00%","","","Never Blocked","",""
"A224B7BAQ0MZSN","https://requester.mturk.com/workers/A224B7BAQ0MZSN","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A229SEF35EGTSF","https://requester.mturk.com/workers/A229SEF35EGTSF","1","0","0.00%","1","0","0.00%","1","0","0.00%","","","Never Blocked","",""
"A22DDO8NILSX6O","https://requester.mturk.com/workers/A22DDO8NILSX6O","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A22G3IFRURGMBT","https://requester.mturk.com/workers/A22G3IFRURGMBT","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A22KVS49G12V8I","https://requester.mturk.com/workers/A22KVS49G12V8I","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A22L1YVZ6MXO09","https://requester.mturk.com/workers/A22L1YVZ6MXO09","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A22LZ62E0UC4VL","https://requester.mturk.com/workers/A22LZ62E0UC4VL","1","0","0.00%","1","0","0.00%","1","0","0.00%","","","Never Blocked","",""
"A2309F1W6LTPF6","https://requester.mturk.com/workers/A2309F1W6LTPF6","1","0","0.00%","1","0","0.00%","1","0","0.00%","","","Never Blocked","",""
"A231ZXYHPSNUJQ","https://requester.mturk.com/workers/A231ZXYHPSNUJQ","1","0","0.00%","1","0","0.00%","1","0","0.00%","","","Never Blocked","",""
"A234SA9RO156TR","https://requester.mturk.com/workers/A234SA9RO156TR","1","1","100.00%","1","1","100.00%","0","0","0.00%","1","","Never Blocked","",""
"A23D936C6QLI2D","https://requester.mturk.com/workers/A23D936C6QLI2D","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A23OR0D1FCUVMM","https://requester.mturk.com/workers/A23OR0D1FCUVMM","1","1","100.00%","1","1","100.00%","0","0","0.00%","1","","Never Blocked","",""
"A2416IYI3FQMAG","https://requester.mturk.com/workers/A2416IYI3FQMAG","1","0","0.00%","1","0","0.00%","1","0","0.00%","","","Never Blocked","",""
"A243EPKB9EW005","https://requester.mturk.com/workers/A243EPKB9EW005","1","0","0.00%","1","0","0.00%","1","0","0.00%","","","Never Blocked","",""
"A2482SLAY120J2","https://requester.mturk.com/workers/A2482SLAY120J2","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A249EWKM1EOARK","https://requester.mturk.com/workers/A249EWKM1EOARK","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A24E737D0977EH","https://requester.mturk.com/workers/A24E737D0977EH","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A24SLE349RXPUG","https://requester.mturk.com/workers/A24SLE349RXPUG","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A25P3J7HNY4JC6","https://requester.mturk.com/workers/A25P3J7HNY4JC6","1","0","0.00%","1","0","0.00%","1","0","0.00%","","","Never Blocked","",""
"A25YOFWQOT6W8W","https://requester.mturk.com/workers/A25YOFWQOT6W8W","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A2623SPLETRH4S","https://requester.mturk.com/workers/A2623SPLETRH4S","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A26376A6PIQ58H","https://requester.mturk.com/workers/A26376A6PIQ58H","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A265YVS68WFFPQ","https://requester.mturk.com/workers/A265YVS68WFFPQ","1","1","100.00%","1","1","100.00%","0","0","0.00%","1","","Never Blocked","",""
"A26MRON9XGPVB5","https://requester.mturk.com/workers/A26MRON9XGPVB5","1","0","0.00%","1","0","0.00%","1","0","0.00%","","","Never Blocked","",""
