"Worker ID","Link to Individual Worker Page","Number of HITs approved or rejected - Lifetime","Number of HITs approved - Lifetime","Your Lifetime approval rate","Number of HITs approved or rejected - Last 30 days","Number of HITs approved - Last 30 days","Your Last 30 days approval rate","Number of HITs approved or rejected - Last 7 days","Number of HITs approved - Last 7 days","Your Last 7 days approval rate","CURRENT-ai_responders_033118","UPDATE-ai_responders_033118","CURRENT BlockStatus","UPDATE BlockStatus","BlockReason"
"A3GEACGJY23HCK","https://requester.mturk.com/workers/A3GEACGJY23HCK","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A3GPYCHKB2KDLC","https://requester.mturk.com/workers/A3GPYCHKB2KDLC","1","0","0.00%","1","0","0.00%","1","0","0.00%","","","Never Blocked","",""
"A3H0FIQ3IDER4U","https://requester.mturk.com/workers/A3H0FIQ3IDER4U","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A3HAPMZV7CYDY8","https://requester.mturk.com/workers/A3HAPMZV7CYDY8","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A3HVFSD8K94SOR","https://requester.mturk.com/workers/A3HVFSD8K94SOR","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A3I1W58P6SIV26","https://requester.mturk.com/workers/A3I1W58P6SIV26","1","1","100.00%","1","1","100.00%","0","0","0.00%","1","","Never Blocked","",""
"A3IGFK1YNA4H9O","https://requester.mturk.com/workers/A3IGFK1YNA4H9O","1","0","0.00%","1","0","0.00%","1","0","0.00%","","","Never Blocked","",""
"A3IGWYBMJ5NBBJ","https://requester.mturk.com/workers/A3IGWYBMJ5NBBJ","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A3IMSZ0F76M3UP","https://requester.mturk.com/workers/A3IMSZ0F76M3UP","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A3JHXEH79DJ83L","https://requester.mturk.com/workers/A3JHXEH79DJ83L","1","0","0.00%","1","0","0.00%","1","0","0.00%","","","Never Blocked","",""
"A3JLCVQ5ARYLHC","https://requester.mturk.com/workers/A3JLCVQ5ARYLHC","1","0","0.00%","1","0","0.00%","1","0","0.00%","","","Never Blocked","",""
"A3KEPJZ9UW2D30","https://requester.mturk.com/workers/A3KEPJZ9UW2D30","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A3KMNX2P2QP9JU","https://requester.mturk.com/workers/A3KMNX2P2QP9JU","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A3L1DZWXQFWB90","https://requester.mturk.com/workers/A3L1DZWXQFWB90","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A3L21C9NFQLA6W","https://requester.mturk.com/workers/A3L21C9NFQLA6W","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A3LSG8J12TDMNF","https://requester.mturk.com/workers/A3LSG8J12TDMNF","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A3MU49UX4XYSHB","https://requester.mturk.com/workers/A3MU49UX4XYSHB","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A3N5GS22ZSVFS1","https://requester.mturk.com/workers/A3N5GS22ZSVFS1","1","0","0.00%","1","0","0.00%","1","0","0.00%","","","Never Blocked","",""
"A3NORT54YW98K0","https://requester.mturk.com/workers/A3NORT54YW98K0","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A3O5JKO0ADLXDB","https://requester.mturk.com/workers/A3O5JKO0ADLXDB","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A3OM2ZQ7FUDTIN","https://requester.mturk.com/workers/A3OM2ZQ7FUDTIN","1","0","0.00%","1","0","0.00%","1","0","0.00%","","","Never Blocked","",""
"A3OURWJ5EDZZ1W","https://requester.mturk.com/workers/A3OURWJ5EDZZ1W","1","1","100.00%","1","1","100.00%","0","0","0.00%","1","","Never Blocked","",""
"A3P0P0DRSOX52W","https://requester.mturk.com/workers/A3P0P0DRSOX52W","1","0","0.00%","1","0","0.00%","1","0","0.00%","","","Never Blocked","",""
"A3PTO0DMF57GDG","https://requester.mturk.com/workers/A3PTO0DMF57GDG","1","1","100.00%","1","1","100.00%","0","0","0.00%","1","","Never Blocked","",""
"A3PUU1XU4C1A3V","https://requester.mturk.com/workers/A3PUU1XU4C1A3V","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A3QC57KUVJP5EW","https://requester.mturk.com/workers/A3QC57KUVJP5EW","1","1","100.00%","1","1","100.00%","0","0","0.00%","1","","Never Blocked","",""
"A3QEVWUSBTD47D","https://requester.mturk.com/workers/A3QEVWUSBTD47D","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A3QQRMRZHPXRAH","https://requester.mturk.com/workers/A3QQRMRZHPXRAH","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A3R5WGP2WLSYMH","https://requester.mturk.com/workers/A3R5WGP2WLSYMH","1","0","0.00%","1","0","0.00%","1","0","0.00%","","","Never Blocked","",""
"A3RGBQGMOAX6J7","https://requester.mturk.com/workers/A3RGBQGMOAX6J7","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A3S847VMT4OE34","https://requester.mturk.com/workers/A3S847VMT4OE34","1","0","0.00%","1","0","0.00%","1","0","0.00%","","","Never Blocked","",""
"A3SDRNVZJ5CDM7","https://requester.mturk.com/workers/A3SDRNVZJ5CDM7","1","0","0.00%","1","0","0.00%","1","0","0.00%","","","Never Blocked","",""
"A3SHOJPXWNTFXZ","https://requester.mturk.com/workers/A3SHOJPXWNTFXZ","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A3SLXZURCF9O67","https://requester.mturk.com/workers/A3SLXZURCF9O67","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A3SOJWB6AZWZV9","https://requester.mturk.com/workers/A3SOJWB6AZWZV9","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A3TBA7X9EF16W6","https://requester.mturk.com/workers/A3TBA7X9EF16W6","1","1","100.00%","1","1","100.00%","1","1","100.00%","1","","Never Blocked","",""
"A3TMVAECAVF9X5","https://requester.mturk.com/workers/A3TMVAECAVF9X5","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A3UF7MG54V3YS2","https://requester.mturk.com/workers/A3UF7MG54V3YS2","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A3UN1F1EOHKKE6","https://requester.mturk.com/workers/A3UN1F1EOHKKE6","1","0","0.00%","1","0","0.00%","1","0","0.00%","","","Never Blocked","",""
"A3UNW797BS2R92","https://requester.mturk.com/workers/A3UNW797BS2R92","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A3UTUWEU44RAY3","https://requester.mturk.com/workers/A3UTUWEU44RAY3","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A3VIDSSJ4J4M80","https://requester.mturk.com/workers/A3VIDSSJ4J4M80","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A3VMQJD8LDQSEZ","https://requester.mturk.com/workers/A3VMQJD8LDQSEZ","1","1","100.00%","1","1","100.00%","0","0","0.00%","1","","Never Blocked","",""
"A3VZFFM13AP1MF","https://requester.mturk.com/workers/A3VZFFM13AP1MF","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A3W4MUUT2MPS8O","https://requester.mturk.com/workers/A3W4MUUT2MPS8O","1","0","0.00%","1","0","0.00%","1","0","0.00%","","","Never Blocked","",""
"A3X6N2OAY5XY8","https://requester.mturk.com/workers/A3X6N2OAY5XY8","1","1","100.00%","1","1","100.00%","0","0","0.00%","1","","Never Blocked","",""
"A49HPQ9P5AHU4","https://requester.mturk.com/workers/A49HPQ9P5AHU4","1","0","0.00%","1","0","0.00%","1","0","0.00%","","","Never Blocked","",""
"A4GXHVTRGW5P8","https://requester.mturk.com/workers/A4GXHVTRGW5P8","1","0","0.00%","1","0","0.00%","1","0","0.00%","","","Never Blocked","",""
"A4J4GGMKJ68L0","https://requester.mturk.com/workers/A4J4GGMKJ68L0","1","1","100.00%","1","1","100.00%","0","0","0.00%","1","","Never Blocked","",""
"A4O5FSLCTJMO5","https://requester.mturk.com/workers/A4O5FSLCTJMO5","1","0","0.00%","1","0","0.00%","1","0","0.00%","","","Never Blocked","",""
"A4U7HX5SEFM8G","https://requester.mturk.com/workers/A4U7HX5SEFM8G","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A4UVNGSXE2ANA","https://requester.mturk.com/workers/A4UVNGSXE2ANA","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A5170HI4SZMCZ","https://requester.mturk.com/workers/A5170HI4SZMCZ","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A5E2P5F1AXYZ1","https://requester.mturk.com/workers/A5E2P5F1AXYZ1","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A61UDFKGL19BX","https://requester.mturk.com/workers/A61UDFKGL19BX","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A7KLTVEIASF4J","https://requester.mturk.com/workers/A7KLTVEIASF4J","1","1","100.00%","1","1","100.00%","0","0","0.00%","1","","Never Blocked","",""
"A7WVKWZKY0IRD","https://requester.mturk.com/workers/A7WVKWZKY0IRD","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A8K9LSIWIWYN7","https://requester.mturk.com/workers/A8K9LSIWIWYN7","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A9DI8CP2SI9Y0","https://requester.mturk.com/workers/A9DI8CP2SI9Y0","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A9MYSUUW9EU9N","https://requester.mturk.com/workers/A9MYSUUW9EU9N","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"AA32M4913PHS2","https://requester.mturk.com/workers/AA32M4913PHS2","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"AA4O2W236E3FW","https://requester.mturk.com/workers/AA4O2W236E3FW","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"AAF96M2HYX2HM","https://requester.mturk.com/workers/AAF96M2HYX2HM","1","0","0.00%","1","0","0.00%","1","0","0.00%","","","Never Blocked","",""
"AAKL8L5X64LWD","https://requester.mturk.com/workers/AAKL8L5X64LWD","1","1","100.00%","1","1","100.00%","1","1","100.00%","1","","Never Blocked","",""
"AAU6NFLY2Q4AV","https://requester.mturk.com/workers/AAU6NFLY2Q4AV","1","0","0.00%","1","0","0.00%","1","0","0.00%","","","Never Blocked","",""
"ABB9DYBUWGNNX","https://requester.mturk.com/workers/ABB9DYBUWGNNX","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"ABBAWZP4MS7HS","https://requester.mturk.com/workers/ABBAWZP4MS7HS","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"ABRDPSXRCXL4Q","https://requester.mturk.com/workers/ABRDPSXRCXL4Q","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"ABXFBTOL7FR1R","https://requester.mturk.com/workers/ABXFBTOL7FR1R","1","0","0.00%","1","0","0.00%","1","0","0.00%","","","Never Blocked","",""
"ACF8CYOJ1P4GC","https://requester.mturk.com/workers/ACF8CYOJ1P4GC","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"ACQ0B1X5APCD5","https://requester.mturk.com/workers/ACQ0B1X5APCD5","1","0","0.00%","1","0","0.00%","1","0","0.00%","","","Never Blocked","",""
"ACSZKZPBGYYKO","https://requester.mturk.com/workers/ACSZKZPBGYYKO","1","0","0.00%","1","0","0.00%","1","0","0.00%","","","Never Blocked","",""
"ADGREXTAORHCE","https://requester.mturk.com/workers/ADGREXTAORHCE","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"ADJ6HSU1QWJKA","https://requester.mturk.com/workers/ADJ6HSU1QWJKA","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"ADLF8HVS3C7IL","https://requester.mturk.com/workers/ADLF8HVS3C7IL","1","0","0.00%","1","0","0.00%","1","0","0.00%","","","Never Blocked","",""
"ADVCIFLB5A9B","https://requester.mturk.com/workers/ADVCIFLB5A9B","1","0","0.00%","1","0","0.00%","1","0","0.00%","","","Never Blocked","",""
"AE1JC0K5IZEBS","https://requester.mturk.com/workers/AE1JC0K5IZEBS","1","0","0.00%","1","0","0.00%","1","0","0.00%","","","Never Blocked","",""
"AEHONA1BIY9JB","https://requester.mturk.com/workers/AEHONA1BIY9JB","1","0","0.00%","1","0","0.00%","1","0","0.00%","","","Never Blocked","",""
"AEOSMC3ZPK697","https://requester.mturk.com/workers/AEOSMC3ZPK697","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"AGAT5JOO7HM9T","https://requester.mturk.com/workers/AGAT5JOO7HM9T","1","0","0.00%","1","0","0.00%","1","0","0.00%","","","Never Blocked","",""
"AGCU8OJR2LRQ2","https://requester.mturk.com/workers/AGCU8OJR2LRQ2","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"AGX9YNDNOKBQC","https://requester.mturk.com/workers/AGX9YNDNOKBQC","1","0","0.00%","1","0","0.00%","1","0","0.00%","","","Never Blocked","",""
"AH00EJ6PK1H3A","https://requester.mturk.com/workers/AH00EJ6PK1H3A","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"AHG23QXFY30HE","https://requester.mturk.com/workers/AHG23QXFY30HE","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"AHI0P0U82SW5Y","https://requester.mturk.com/workers/AHI0P0U82SW5Y","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"AHYVYJPFB6XGO","https://requester.mturk.com/workers/AHYVYJPFB6XGO","1","0","0.00%","1","0","0.00%","1","0","0.00%","","","Never Blocked","",""
"AI16MTKPZNZXL","https://requester.mturk.com/workers/AI16MTKPZNZXL","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"AIOOOO5OXWXKM","https://requester.mturk.com/workers/AIOOOO5OXWXKM","1","0","0.00%","1","0","0.00%","1","0","0.00%","","","Never Blocked","",""
"AJPKWEYPYLOD1","https://requester.mturk.com/workers/AJPKWEYPYLOD1","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"AK1GE19RT3PK6","https://requester.mturk.com/workers/AK1GE19RT3PK6","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"AK3H5QRAROFGP","https://requester.mturk.com/workers/AK3H5QRAROFGP","1","1","100.00%","1","1","100.00%","0","0","0.00%","1","","Never Blocked","",""
"AK8OOYYYKZF9V","https://requester.mturk.com/workers/AK8OOYYYKZF9V","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"AKEB0UFRC9ODG","https://requester.mturk.com/workers/AKEB0UFRC9ODG","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"AKMQH2MGTUWO9","https://requester.mturk.com/workers/AKMQH2MGTUWO9","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"AKX436C0G1LV8","https://requester.mturk.com/workers/AKX436C0G1LV8","1","0","0.00%","1","0","0.00%","1","0","0.00%","","","Never Blocked","",""
"AKX5RHHO8BIUX","https://requester.mturk.com/workers/AKX5RHHO8BIUX","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"AL0UT6ZCOJBWD","https://requester.mturk.com/workers/AL0UT6ZCOJBWD","1","0","0.00%","1","0","0.00%","1","0","0.00%","","","Never Blocked","",""
"AL5HBAJ3ZCNSD","https://requester.mturk.com/workers/AL5HBAJ3ZCNSD","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"ALI92G1065WRG","https://requester.mturk.com/workers/ALI92G1065WRG","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"ALML8V38FDV0","https://requester.mturk.com/workers/ALML8V38FDV0","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"AM10DHC44MRUV","https://requester.mturk.com/workers/AM10DHC44MRUV","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"AMDX0UNZS4A1G","https://requester.mturk.com/workers/AMDX0UNZS4A1G","1","1","100.00%","1","1","100.00%","0","0","0.00%","1","","Never Blocked","",""
"AMNRYECHXZY34","https://requester.mturk.com/workers/AMNRYECHXZY34","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"AMZYIIE52MXZN","https://requester.mturk.com/workers/AMZYIIE52MXZN","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"AN7O62YE1J4UJ","https://requester.mturk.com/workers/AN7O62YE1J4UJ","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"ANN162CY5IAGN","https://requester.mturk.com/workers/ANN162CY5IAGN","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"ANRC6V2PY2YED","https://requester.mturk.com/workers/ANRC6V2PY2YED","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"AOL04T29G35P4","https://requester.mturk.com/workers/AOL04T29G35P4","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"AOPXFWTI9SCK8","https://requester.mturk.com/workers/AOPXFWTI9SCK8","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"AOY5CF0UQUMO2","https://requester.mturk.com/workers/AOY5CF0UQUMO2","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"AP5AOX8WYOWQ1","https://requester.mturk.com/workers/AP5AOX8WYOWQ1","1","0","0.00%","1","0","0.00%","1","0","0.00%","","","Never Blocked","",""
"AP761OJXC1MAE","https://requester.mturk.com/workers/AP761OJXC1MAE","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"APAR2A1F4RB0N","https://requester.mturk.com/workers/APAR2A1F4RB0N","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"APF1EAZT104LQ","https://requester.mturk.com/workers/APF1EAZT104LQ","1","0","0.00%","1","0","0.00%","1","0","0.00%","","","Never Blocked","",""
"APO4DD2J9RWGP","https://requester.mturk.com/workers/APO4DD2J9RWGP","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"AQHWEN0V44039","https://requester.mturk.com/workers/AQHWEN0V44039","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"AQMR7KXKZ7V4Z","https://requester.mturk.com/workers/AQMR7KXKZ7V4Z","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"AQPSU5H8HLUWY","https://requester.mturk.com/workers/AQPSU5H8HLUWY","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"AR4UI9K92BUT3","https://requester.mturk.com/workers/AR4UI9K92BUT3","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"AR75LE4D2CUAE","https://requester.mturk.com/workers/AR75LE4D2CUAE","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"AR95C0P53AFWJ","https://requester.mturk.com/workers/AR95C0P53AFWJ","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"ARG392N6HWZCJ","https://requester.mturk.com/workers/ARG392N6HWZCJ","1","1","100.00%","1","1","100.00%","0","0","0.00%","1","","Never Blocked","",""
"ARN8L3JVVNK6X","https://requester.mturk.com/workers/ARN8L3JVVNK6X","1","0","0.00%","1","0","0.00%","1","0","0.00%","","","Never Blocked","",""
"AROOCBM042SJD","https://requester.mturk.com/workers/AROOCBM042SJD","1","1","100.00%","1","1","100.00%","1","1","100.00%","1","","Never Blocked","",""
"AS7ZK30LXDC46","https://requester.mturk.com/workers/AS7ZK30LXDC46","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"ASDKBXZBSJNZD","https://requester.mturk.com/workers/ASDKBXZBSJNZD","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"ASIIBJHP327J7","https://requester.mturk.com/workers/ASIIBJHP327J7","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"AT4KMM21GG1MJ","https://requester.mturk.com/workers/AT4KMM21GG1MJ","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"AU3WB2DD4QJ4B","https://requester.mturk.com/workers/AU3WB2DD4QJ4B","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"AU91DG12S5KZF","https://requester.mturk.com/workers/AU91DG12S5KZF","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"AUOYNTK0GOFOM","https://requester.mturk.com/workers/AUOYNTK0GOFOM","1","1","100.00%","1","1","100.00%","1","1","100.00%","1","","Never Blocked","",""
"AUQN507PN70U1","https://requester.mturk.com/workers/AUQN507PN70U1","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"AUT1MH3OQ6T1","https://requester.mturk.com/workers/AUT1MH3OQ6T1","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"AVCXJ9M71WDCB","https://requester.mturk.com/workers/AVCXJ9M71WDCB","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"AVD6HMIO1HLFI","https://requester.mturk.com/workers/AVD6HMIO1HLFI","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"AVLUX03TCOCEZ","https://requester.mturk.com/workers/AVLUX03TCOCEZ","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"AX1THMSZH9Y8O","https://requester.mturk.com/workers/AX1THMSZH9Y8O","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"AXB7TK33Q8NV9","https://requester.mturk.com/workers/AXB7TK33Q8NV9","1","0","0.00%","1","0","0.00%","1","0","0.00%","","","Never Blocked","",""
"AY0BJCGY2DHIX","https://requester.mturk.com/workers/AY0BJCGY2DHIX","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"AY4B7SUM68J3G","https://requester.mturk.com/workers/AY4B7SUM68J3G","1","0","0.00%","1","0","0.00%","1","0","0.00%","","","Never Blocked","",""
"AYB7U8LZ87F0K","https://requester.mturk.com/workers/AYB7U8LZ87F0K","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"AYN23NYBG7OBX","https://requester.mturk.com/workers/AYN23NYBG7OBX","1","0","0.00%","1","0","0.00%","1","0","0.00%","","","Never Blocked","",""
"AYR9VG004VQ3W","https://requester.mturk.com/workers/AYR9VG004VQ3W","1","1","100.00%","1","1","100.00%","0","0","0.00%","1","","Never Blocked","",""
"AYXXMHLZRAPF9","https://requester.mturk.com/workers/AYXXMHLZRAPF9","1","1","100.00%","1","1","100.00%","0","0","0.00%","1","","Never Blocked","",""
"AYYEQBUPC7IM5","https://requester.mturk.com/workers/AYYEQBUPC7IM5","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"AZ9BU8QI4YKF3","https://requester.mturk.com/workers/AZ9BU8QI4YKF3","1","1","100.00%","1","1","100.00%","0","0","0.00%","1","","Never Blocked","",""
"AZEGZ5ZVM6P5A","https://requester.mturk.com/workers/AZEGZ5ZVM6P5A","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"AZS7M097NVG4G","https://requester.mturk.com/workers/AZS7M097NVG4G","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""