"WorkerID","UPDATE-ai_responders_033118"
"A10FN6L2S91E8D",1
"A10GJ2FOR16B2I",1
"A10HEV2856GIQL",1
"A110JBKYAC0WAW",1
"A1187B8YT74YAJ",1
"A11LG8NBTHZ2GT",1
"A11QDNT3W7DT7K",1
"A11R8G0FYA2UVQ",1
"A11W7R2O4RQSSS",1
"A1247PYAVEPWTX",1
"A1274B3RL8IZ8H",1
"A12JKSH2NE5W9N",1
"A12NO2MNOIREXA",1
"A138LSJBBLOR8Q",1
"A13AHQUWGR063",1
"A13FUEPWBCLBUY",1
"A146Z2MR3JKD39",1
"A14NSVH4W27CK0",1
"A14OQ52EFQAN2W",1
"A14QHFJ52HGE6Q",1
"A14WLAP6TCEKO0",1
"A159KNKNX9RYUL",1
"A15QGLWS8CNJFU",1
"A15YE29S9WR0O6",1
"A16RUB5JYN4UV7",1
"A171S8E9IFSHH2",1
"A17HFDRWYZL1CD",1
"A17ZMF7GGP6HKO",1
"A18U9WMYFYJPR6",1
"A19APXLPQCWZ8S",1
"A19L8SNH73AX1Z",1
"A19LVWX8ZLO6CS",1
"A1A2X0T1XE8K89",1
"A1A6UVH1CCP8CD",1
"A1AIHLAEJ8FU4J",1
"A1AUBV4SO8NZLS",1
"A1B592DM38HTL4",1
"A1BBZ5EMNSCZJR",1
"A1BQBQG2GNY8AY",1
"A1BYFEAGNTPRJD",1
"A1BZNPQ0H7ZSER",1
"A1CE2XPYCDRHVZ",1
"A1CZ2GB5LZ9O5H",1
"A1D4CMVMBTSIJQ",1
"A1DJEWE7PY7YQX",1
"A1DXSFFL5HZ1NX",1
"A1ER6B1KB5OJ7F",1
"A1FVCMGXK85014",1
"A1H8I7FOW3HWD3",1
"A1H9L9ARVCMJMX",1
"A1HIQZEC2ER7GS",1
"A1HMO9XPRPUPWJ",1
"A1HSRWOEK6ZJPR",1
"A1HYMGPYXU97ZN",1
"A1ICTVF6SGBTH7",1
"A1IYHQPPOACU83",1
"A1J17BE20G6DKA",1
"A1J4N2SE30LCUH",1
"A1K2E8ICV5LAJ2",1
"A1K8QNLYYYX21W",1
"A1KFK92GEFQ9F5",1
"A1KRYIRDA2OOWC",1
"A1KWIJXTC47YWE",1
"A1L030CL30QW2U",1
"A1L6D082DPMF3N",1
"A1MR7D47A08P4Y",1
"A1NAGLVAIALY55",1
"A1NH9NLE8FFVSW",1
"A1NLW5ZS2WQR35",1
"A1NM7ZPZ3NH412",1
"A1NO4N6E04SAOR",1
"A1NOR6E0WT0Y14",1
"A1NXDNRUNL87XN",1
"A1OWD5ZK1MLAIF",1
"A1P0MXIDPXPW07",1
"A1PD0NGV29HX0W",1
"A1PUIGT83JOHH6",1
"A1PVWZ8ZYJHCOJ",1
"A1Q2C5GJTB09WW",1
"A1QEQOI98976S0",1
"A1QTFE8FVK3HMG",1
"A1QWL8FRLNDJB",1
"A1R4F6EPXA3VCL",1
"A1RQQFUQ2GU9IZ",1
"A1SP3GBRZKMWZJ",1
"A1SU8C0D1IJYTN",1
"A1SUNH15I9VI6J",1
"A1T0NW527WZT7G",1
"A1TBUUGHEBVRYA",1
"A1TCMO3C454JLC",1
"A1TS65VCOO8WXC",1
"A1V6CNMLV3QQIX",1
"A1VE6VNQJO0U88",1
"A1VJ4ZOXP9PUCP",1
"A1WCD91LFG8BQX",1
"A1WTIPXQDJIMUI",1
"A1X59Q57OOJUH7",1
"A1XKCT8RLIKB5Z",1
"A1XTZBD6M60PYD",1
"A1XZ40T91S5YFU",1
"A1Y7I81X0OVNSY",1
"A1YBUA89N9CV2N",1
"A1YFVXP4A1CXSF",1
"A1YI1H05AQ3ING",1
"A1YY98SJG37KSU",1
"A1ZRK6K5JUPJAV",1
"A1ZT0XICAVUFTD",1
"A201PHANVNEC8I",1
"A206LK0R8I1LK4",1
"A20DBVVUS8DMYP",1
"A20HZD952T4B2O",1
"A20Z5O57UDPFLX",1
"A211MU7HRPSV5",1
"A212WMJOUG2P4R",1
"A219BAAG4L9S52",1
"A21EZISIJ3JPSW",1
"A21SAW4GZMGQQR",1
"A2235CAG2UC7CM",1
"A224B7BAQ0MZSN",1
"A229SEF35EGTSF",1
"A22DDO8NILSX6O",1
"A22G3IFRURGMBT",1
"A22KVS49G12V8I",1
"A22L1YVZ6MXO09",1
"A22LZ62E0UC4VL",1
"A2309F1W6LTPF6",1
"A231ZXYHPSNUJQ",1
"A234SA9RO156TR",1
"A23D936C6QLI2D",1
"A23OR0D1FCUVMM",1
"A2416IYI3FQMAG",1
"A243EPKB9EW005",1
"A2482SLAY120J2",1
"A249EWKM1EOARK",1
"A24E737D0977EH",1
"A24SLE349RXPUG",1
"A25P3J7HNY4JC6",1
"A25YOFWQOT6W8W",1
"A2623SPLETRH4S",1
"A26376A6PIQ58H",1
"A265YVS68WFFPQ",1
"A26MRON9XGPVB5",1
"A274NFT93QPBGL",1
"A286H1M66CL5ZI",1
"A28O73FNVUBR5T",1
"A28WSBB0DSV47X",1
"A29AX5O8KL48F8",1
"A29DTOJJVU7GCA",1
"A29FUZPUFY51TB",1
"A29PB2C8XD8TVG",1
"A29RJVVL54THB5",1
"A2A4S9LCF1R181",1
"A2A8HRLRXV5EAA",1
"A2AOD3GOS9NKFC",1
"A2APPZDU0VS9LN",1
"A2B1YSMEHN1G2K",1
"A2BA753YMXLDAP",1
"A2BBTHVCRM0ZIQ",1
"A2BEHSJ4RBM360",1
"A2BF3A9KYSEFPO",1
"A2BOWE2IOS81SH",1
"A2C8CPT60DE5V8",1
"A2C98AABF1ZILY",1
"A2C9TFCDHJKWLN",1
"A2CO0L7AHULZ51",1
"A2CSD7F60ZQLR",1
"A2CTI1LFBX8GG3",1
"A2DC7EBSBUVUQ",1
"A2E9X9OFUIQ3B6",1
"A2ELDYT1S772YH",1
"A2EW08X2I87RXL",1
"A2G2V7KXNMUUT2",1
"A2G9163W7Y67UD",1
"A2GUJCGPE4RCL0",1
"A2H8GNSEVUJXYL",1
"A2H8HVANGF4A58",1
"A2H9Q5DA9AFOJO",1
"A2HLRNKXJFO71G",1
"A2HQOSNTDE5UKV",1
"A2HR7ZIX42FEPG",1
"A2IFBLO7S1UYTZ",1
"A2IUT0610X9CV0",1
"A2JHF7CU91EVXW",1
"A2JRONMDBUJT3K",1
"A2JYT3A8Z3Q2M6",1
"A2K2MSP0EFWFTA",1
"A2K5CRACD4PL5U",1
"A2LTGFMW5PUE01",1
"A2MCRVU8I9VNHG",1
"A2MJAXJEJ4SEQM",1
"A2N9WC0ERVHXDY",1
"A2NGG3KW6YTS1G",1
"A2NKE99I9M8EP3",1
"A2NVOKL45Z9C2C",1
"A2OIGST8UL7HJP",1
"A2OIPOP4MI8TZB",1
"A2OTQJZW0I3M2Q",1
"A2PWE9TKEM99BA",1
"A2PWEY49I45RYY",1
"A2QLFIUY3LC9D7",1
"A2QMHQXR8K4VJ2",1
"A2RMMYN6NSXE4V",1
"A2RUHO7I7Y4XFA",1
"A2S0MB5JFG8DF",1
"A2SAWJZQM8GTF6",1
"A2SY2N44N1RWVA",1
"A2SYRFPPV9WDEG",1
"A2T2HFUJP04DWD",1
"A2T5YVU37RBCCP",1
"A2TF7BYPCYUTTP",1
"A2TGOIW7U237NO",1
"A2TJS37ORFQTUT",1
"A2TKANKOPUJXWX",1
"A2TLQXGIO2LJ91",1
"A2TN5NSHC2BZ12",1
"A2TV4MWIOBMNMS",1
"A2UF2FRGVW4T89",1
"A2UTDTZ00HSW4F",1
"A2UZXRV8QU8TGS",1
"A2V272VAW0GIPL",1
"A2VNR6984SDFGQ",1
"A2VQ1WGHLLLNJ1",1
"A2W914YUI5ZHVH",1
"A2WAQLPXT615HQ",1
"A2WWYVKGZZXBOB",1
"A2X06TZY0GCFRF",1
"A2X229C3V93C1K",1
"A2X823PACMMOKP",1
"A2XH7ZKO6GLD7Z",1
"A2XPQ8KYFKI6FD",1
"A2YO0CG93Y1N69",1
"A2Z2OV7QGU10QN",1
"A2Z7SWO6HS5OOI",1
"A2Z874ZGWJP6JQ",1
"A2ZBYVQLDUZOV7",1
"A2ZKUU1KLDSGL0",1
"A2ZL5GAZK6S0H1",1
"A30CGO77OY7WP0",1
"A30DB51RPGJT4V",1
"A30G98ZDOZMUVK",1
"A30GCTXJ17JC3I",1
"A30MP4LXV4MIFD",1
"A30NX5HEQGGFPP",1
"A313GWPU1F11HU",1
"A31VW44MXV7PP5",1
"A322XYNEK21I27",1
"A32CMQGGTSUK6Z",1
"A32JNOSQH86VNS",1
"A32PU6NORGUEEN",1
"A32S7DRKL0MW0A",1
"A330HFBRTY55U8",1
"A330JJZGJL7IG2",1
"A33VGSEJ44ORMF",1
"A345EPTA0P1Z5J",1
"A34ONJ2RD5CF2C",1
"A34ZULY6WMWR0D",1
"A3531V81TBNQBL",1
"A35ARURSRU6UAZ",1
"A35BY30TC8WCL4",1
"A35P57XYNK927Y",1
"A35QEQPK7USJX2",1
"A35SC4D5YNJGOW",1
"A35UAZ5IKU14XW",1
"A36LW7PXV35Y2Z",1
"A36ZLJPURT0ILP",1
"A3774HPOUKYTX7",1
"A37CO0N1KC1CDW",1
"A37VBAMFEQKJO4",1
"A38ECJNH8AQKV4",1
"A38Z7Q3V5E2Q70",1
"A39A8K2UX0U05W",1
"A39HV9BXOEDT79",1
"A39XF45WLMIGX2",1
"A3A00UKGHIRCPO",1
"A3ACR8IG31Q7K6",1
"A3AT9S1CF9QV4K",1
"A3AXA3S5UM8E8W",1
"A3B5UFOTPU1TQJ",1
"A3BGW64TEYYQMC",1
"A3CV1VK8QP1SUN",1
"A3CVX7GHF3B65Q",1
"A3D00DSZUSDSQS",1
"A3DRYZ95VDUDK",1
"A3DUPRZSMU9W5R",1
"A3E5QW0ZCJHIFW",1
"A3ESC1H6BBKF30",1
"A3F51C49T9A34D",1
"A3F79JQWFB73SU",1
"A3GEACGJY23HCK",1
"A3GPYCHKB2KDLC",1
"A3H0FIQ3IDER4U",1
"A3HAPMZV7CYDY8",1
"A3HVFSD8K94SOR",1
"A3I1W58P6SIV26",1
"A3IGFK1YNA4H9O",1
"A3IGWYBMJ5NBBJ",1
"A3IMSZ0F76M3UP",1
"A3JHXEH79DJ83L",1
"A3JLCVQ5ARYLHC",1
"A3KEPJZ9UW2D30",1
"A3KMNX2P2QP9JU",1
"A3L1DZWXQFWB90",1
"A3L21C9NFQLA6W",1
"A3LSG8J12TDMNF",1
"A3MU49UX4XYSHB",1
"A3N5GS22ZSVFS1",1
"A3NORT54YW98K0",1
"A3O5JKO0ADLXDB",1
"A3OM2ZQ7FUDTIN",1
"A3OURWJ5EDZZ1W",1
"A3P0P0DRSOX52W",1
"A3PTO0DMF57GDG",1
"A3PUU1XU4C1A3V",1
"A3QC57KUVJP5EW",1
"A3QEVWUSBTD47D",1
"A3QQRMRZHPXRAH",1
"A3R5WGP2WLSYMH",1
"A3RGBQGMOAX6J7",1
"A3S847VMT4OE34",1
"A3SDRNVZJ5CDM7",1
"A3SHOJPXWNTFXZ",1
"A3SLXZURCF9O67",1
"A3SOJWB6AZWZV9",1
"A3TBA7X9EF16W6",1
"A3TMVAECAVF9X5",1
"A3UF7MG54V3YS2",1
"A3UN1F1EOHKKE6",1
"A3UNW797BS2R92",1
"A3UTUWEU44RAY3",1
"A3VIDSSJ4J4M80",1
"A3VMQJD8LDQSEZ",1
"A3VZFFM13AP1MF",1
"A3W4MUUT2MPS8O",1
"A3X6N2OAY5XY8",1
"A49HPQ9P5AHU4",1
"A4GXHVTRGW5P8",1
"A4J4GGMKJ68L0",1
"A4O5FSLCTJMO5",1
"A4U7HX5SEFM8G",1
"A4UVNGSXE2ANA",1
"A5170HI4SZMCZ",1
"A5E2P5F1AXYZ1",1
"A61UDFKGL19BX",1
"A7KLTVEIASF4J",1
"A7WVKWZKY0IRD",1
"A8K9LSIWIWYN7",1
"A9DI8CP2SI9Y0",1
"A9MYSUUW9EU9N",1
"AA32M4913PHS2",1
"AA4O2W236E3FW",1
"AAF96M2HYX2HM",1
"AAKL8L5X64LWD",1
"AAU6NFLY2Q4AV",1
"ABB9DYBUWGNNX",1
"ABBAWZP4MS7HS",1
"ABRDPSXRCXL4Q",1
"ABXFBTOL7FR1R",1
"ACF8CYOJ1P4GC",1
"ACQ0B1X5APCD5",1
"ACSZKZPBGYYKO",1
"ADGREXTAORHCE",1
"ADJ6HSU1QWJKA",1
"ADLF8HVS3C7IL",1
"ADVCIFLB5A9B",1
"AE1JC0K5IZEBS",1
"AEHONA1BIY9JB",1
"AEOSMC3ZPK697",1
"AGAT5JOO7HM9T",1
"AGCU8OJR2LRQ2",1
"AGX9YNDNOKBQC",1
"AH00EJ6PK1H3A",1
"AHG23QXFY30HE",1
"AHI0P0U82SW5Y",1
"AHYVYJPFB6XGO",1
"AI16MTKPZNZXL",1
"AIOOOO5OXWXKM",1
"AJPKWEYPYLOD1",1
"AK1GE19RT3PK6",1
"AK3H5QRAROFGP",1
"AK8OOYYYKZF9V",1
"AKEB0UFRC9ODG",1
"AKMQH2MGTUWO9",1
"AKX436C0G1LV8",1
"AKX5RHHO8BIUX",1
"AL0UT6ZCOJBWD",1
"AL5HBAJ3ZCNSD",1
"ALI92G1065WRG",1
"ALML8V38FDV0",1
"AM10DHC44MRUV",1
"AMDX0UNZS4A1G",1
"AMNRYECHXZY34",1
"AMZYIIE52MXZN",1
"AN7O62YE1J4UJ",1
"ANN162CY5IAGN",1
"ANRC6V2PY2YED",1
"AOL04T29G35P4",1
"AOPXFWTI9SCK8",1
"AOY5CF0UQUMO2",1
"AP5AOX8WYOWQ1",1
"AP761OJXC1MAE",1
"APAR2A1F4RB0N",1
"APF1EAZT104LQ",1
"APO4DD2J9RWGP",1
"AQHWEN0V44039",1
"AQMR7KXKZ7V4Z",1
"AQPSU5H8HLUWY",1
"AR4UI9K92BUT3",1
"AR75LE4D2CUAE",1
"AR95C0P53AFWJ",1
"ARG392N6HWZCJ",1
"ARN8L3JVVNK6X",1
"AROOCBM042SJD",1
"AS7ZK30LXDC46",1
"ASDKBXZBSJNZD",1
"ASIIBJHP327J7",1
"AT4KMM21GG1MJ",1
"AU3WB2DD4QJ4B",1
"AU91DG12S5KZF",1
"AUOYNTK0GOFOM",1
"AUQN507PN70U1",1
"AUT1MH3OQ6T1",1
"AVCXJ9M71WDCB",1
"AVD6HMIO1HLFI",1
"AVLUX03TCOCEZ",1
"AX1THMSZH9Y8O",1
"AXB7TK33Q8NV9",1
"AY0BJCGY2DHIX",1
"AY4B7SUM68J3G",1
"AYB7U8LZ87F0K",1
"AYN23NYBG7OBX",1
"AYR9VG004VQ3W",1
"AYXXMHLZRAPF9",1
"AYYEQBUPC7IM5",1
"AZ9BU8QI4YKF3",1
"AZEGZ5ZVM6P5A",1
"AZS7M097NVG4G",1
