"ResponseId","mTurkCode","IPAddress","LocationLatitude","LocationLongitude","StartDate","EndDate","duration_seconds","gender","education_level","house_income","AI_educated","AI_attitude","learn_anything","assignment_undesirable","assignment_jobs","assignment_oversight","assignment_recommender","assignment_beneficial","score_undesirable","score_jobs","score_oversight","score_recommender","score_beneficial","control_undesirable","control_jobs","control_oversight","control_recommender","control_beneficial","treat_undesirable","treat_jobs","treat_oversight","treat_recommender","treat_beneficial","attention_question_code","attention_question","attention_correct"
"R_3EYxlGNPU9Rozgg",6707831,"47.196.99.191",27.900299072266,-82.302398681641,"2018-03-30 11:02:12","2018-03-30 11:04:36",144,1,1,1,3,5,1,1,0,1,1,0,5,4,3,1,3,NA,4,NA,NA,3,5,NA,3,1,NA,3,"oversight",1
"R_1LnA9shhc8pe6oe",6956345,"68.59.23.65",42.426803588867,-83.193496704102,"2018-03-30 11:14:29","2018-03-30 11:20:13",344,0,1,1,2,2,0,1,1,0,1,0,1,1,4,1,3,NA,NA,4,NA,3,1,1,NA,1,NA,2,"jobs",0
"R_28SNczvnKwQObLT",8893838,"172.56.29.252",39.952102661133,-75.118202209473,"2018-03-30 11:30:54","2018-03-30 11:33:06",131,1,2,2,4,3,0,1,1,1,0,0,4,5,5,4,3,NA,NA,NA,4,3,4,5,5,NA,NA,3,"oversight",1
"R_2wa7IS9SgzMhITp",2991572,"173.22.6.76",44.334106445312,-94.061698913574,"2018-03-30 11:31:24","2018-03-30 11:34:48",203,1,2,3,2,3,1,1,1,1,0,0,3,2,3,2,3,NA,NA,NA,2,3,3,2,3,NA,NA,2,"jobs",1
"R_81YOWp6KvDAmkYp",2440025,"172.113.106.139",33.912902832031,-118.34390258789,"2018-03-30 12:18:59","2018-03-30 12:22:00",180,1,1,1,3,4,1,0,0,1,1,1,2,4,4,4,3,2,4,NA,NA,NA,NA,NA,4,4,3,4,"recommender",0
"R_10IpTPIA32zP2AW",2915551,"144.15.255.227",44.979995727539,-93.263801574707,"2018-03-30 12:43:34","2018-03-30 12:45:21",106,0,2,2,3,4,0,0,1,0,1,1,2,3,5,3,4,2,NA,5,NA,NA,NA,3,NA,3,4,4,"recommender",0
"R_1LzdzjhStlufnXO",6182028,"24.158.191.7",34.891403198242,-85.120697021484,"2018-03-30 14:43:29","2018-03-30 14:45:48",138,0,2,2,3,2,1,0,1,1,1,0,5,4,5,2,2,5,NA,NA,NA,2,NA,4,5,2,NA,2,"jobs",1
"R_2ya597xWmKJbT2T",4507379,"68.103.172.177",37.802001953125,-99.998199462891,"2018-03-30 15:16:47","2018-03-30 15:18:33",106,1,3,1,2,1,0,1,0,1,0,1,2,4,5,1,2,NA,4,NA,1,NA,2,NA,5,NA,2,5,"beneficial",1
"R_3gN2RWAgP5SRQ8e",812501,"174.140.64.232",39.893707275391,-79.749198913574,"2018-03-30 16:45:38","2018-03-30 16:47:18",100,1,2,1,3,3,0,1,0,1,1,0,1,2,1,1,3,NA,2,NA,NA,3,1,NA,1,1,NA,1,"undesirable",1
"R_3MtU2uhvmtNj87C",4647635,"69.14.241.18",40.053207397461,-83.022003173828,"2018-03-30 19:42:29","2018-03-30 19:45:39",189,0,2,2,2,2,0,1,1,0,1,0,2,2,2,2,3,NA,NA,2,NA,3,2,2,NA,2,NA,2,"jobs",1
"R_ZIcGyL9zEWYQLpT",6792563,"96.255.20.58",39.004592895508,-77.036903381348,"2018-03-30 22:08:05","2018-03-30 22:10:43",158,0,2,2,3,4,1,1,1,0,0,1,1,2,4,5,4,NA,NA,4,5,NA,1,2,NA,NA,4,5,"beneficial",1
"R_1rHeVSMX59WRrtw",4465152,"98.122.84.61",32.964706420898,-80.201499938965,"2018-03-31 06:49:09","2018-03-31 06:52:03",174,1,1,1,3,2,0,1,0,0,1,1,5,5,5,1,1,NA,5,5,NA,NA,5,NA,NA,1,1,1,"undesirable",0
"R_27PWHh6EaNuRTpA",4273538,"174.110.247.92",34.927307128906,-78.909301757812,"2018-03-31 10:38:03","2018-03-31 10:40:34",150,0,1,1,2,2,1,1,0,0,1,1,4,5,5,2,2,NA,5,5,NA,NA,4,NA,NA,2,2,1,"undesirable",0
"R_3I5KcksQS8CLsfQ",997193,"64.121.196.248",40.690994262695,-75.279296875,"2018-03-31 13:15:35","2018-03-31 13:16:30",55,1,2,2,4,4,0,0,1,0,1,1,2,2,3,2,4,2,NA,3,NA,NA,NA,2,NA,2,4,2,"jobs",1
"R_1iaGZQKi0cTMo2g",3087436,"172.113.29.242",34.052993774414,-117.24890136719,"2018-03-31 14:24:38","2018-03-31 14:27:40",182,0,2,1,1,3,1,1,1,0,0,1,2,2,3,3,2,NA,NA,3,3,NA,2,2,NA,NA,2,1,"undesirable",1
"R_10MCCMeV19mNwrZ",7311222,"73.149.110.105",42.106994628906,-72.620399475098,"2018-04-01 06:42:55","2018-04-01 06:45:11",135,0,3,2,2,2,1,0,1,0,1,1,3,3,5,2,3,3,NA,5,NA,NA,NA,3,NA,2,3,5,"beneficial",1
"R_2EmayffM5ZecVMr",3668890,"108.219.212.132",34.176696777344,-118.31050109863,"2018-04-01 07:55:43","2018-04-01 07:59:13",210,1,2,1,1,1,0,0,0,1,1,1,5,5,5,3,1,5,5,NA,NA,NA,NA,NA,5,3,1,4,"recommender",0
"R_d6BMHrnjTjBpAqt",8414540,"24.107.40.176",38.848999023438,-89.938499450684,"2018-04-01 09:54:19","2018-04-01 09:56:03",103,1,2,3,3,3,1,0,0,1,1,1,3,3,4,3,3,3,3,NA,NA,NA,NA,NA,4,3,3,5,"beneficial",1
"R_2XoFL4yCE2vQeoY",7864469,"75.87.100.146",27.73210144043,-97.384696960449,"2018-04-01 13:12:31","2018-04-01 13:14:24",113,0,3,1,1,3,0,1,0,1,0,1,3,3,5,3,3,NA,3,NA,3,NA,3,NA,5,NA,3,5,"beneficial",1
"R_C4areYpDLZPjNCN",62741,"162.201.204.93",39.825103759766,-82.795799255371,"2018-04-01 15:25:19","2018-04-01 15:27:08",108,1,2,2,4,3,1,0,1,1,1,0,3,2,2,4,4,3,NA,NA,NA,4,NA,2,2,4,NA,2,"jobs",1
"R_1ltzfyWADREF244",2039439,"192.203.201.3",44.967895507812,-93.088401794434,"2018-04-01 15:31:30","2018-04-01 15:33:54",143,1,2,2,2,4,1,1,1,1,0,0,2,3,5,2,4,NA,NA,NA,2,4,2,3,5,NA,NA,1,"undesirable",1
"R_V2rnIfDY2t4qIP7",7985751,"68.36.157.3",42.352294921875,-83.027099609375,"2018-04-01 16:10:44","2018-04-01 16:17:03",379,0,4,1,2,3,0,1,1,0,1,0,4,4,3,1,3,NA,NA,3,NA,3,4,4,NA,1,NA,1,"undesirable",0
"R_1mQ1lIjPNiuZqJ1",334660,"98.212.80.5",41.392700195312,-89.077598571777,"2018-04-02 08:12:19","2018-04-02 08:19:43",444,0,2,2,1,2,0,0,0,1,1,1,2,5,5,2,2,2,5,NA,NA,NA,NA,NA,5,2,2,5,"beneficial",1
"R_xzlFPbkw9sdKlkl",4354080,"32.211.106.215",41.286407470703,-72.795600891113,"2018-04-02 08:51:07","2018-04-02 08:55:39",271,1,1,2,3,4,1,0,0,1,1,1,2,3,5,3,4,2,3,NA,NA,NA,NA,NA,5,3,4,4,"recommender",0
"R_3knbg5JeAjvmpfb",1956304,"104.34.83.206",34.200500488281,-118.54040527344,"2018-04-02 14:01:56","2018-04-02 14:13:56",719,1,3,1,4,4,0,1,1,1,0,0,2,3,5,4,5,NA,NA,NA,4,5,2,3,5,NA,NA,2,"jobs",1
"R_Wxj3uhI1ZtLsiRj",8429794,"73.184.165.107",34.257705688477,-84.49210357666,"2018-04-02 16:31:14","2018-04-02 16:32:10",55,1,4,2,3,4,1,1,0,1,0,1,3,4,4,3,4,NA,4,NA,3,NA,3,NA,4,NA,4,1,"undesirable",0
"R_3fB20wjzQ87E0z9",7824095,"73.243.4.169",38.762893676758,-104.84790039062,"2018-04-02 20:49:22","2018-04-02 20:50:11",49,0,4,4,2,2,1,1,0,1,0,1,2,2,5,2,2,NA,2,NA,2,NA,2,NA,5,NA,2,1,"undesirable",0
"R_3qOROYfEpAI7l0H",781567,"73.119.2.27",42.428100585938,-71.05460357666,"2018-04-02 21:40:28","2018-04-02 21:42:47",139,0,2,2,2,1,0,1,0,1,1,0,5,3,5,5,1,NA,3,NA,NA,1,5,NA,5,5,NA,3,"oversight",1
